,datePublished,user,text_header,verified,text_content,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
312,1st February 2020,Akshat Yagnic,"""served the food with care""",✅ Trip Verified ,  Delhi to Ahmedabad. The crew assisted me in putting my luggage without asking. A seat was a little wet and crew Deepika and Dimi made sure to make the seat comfortable. They served the food with care and delivered well in time. Congratulations for showing such dedicated approach towards work.,NA,Solo Leisure,Economy Class,Delhi to Ahmedabad,January 2020,5,5,5,NA,5,NA,5,yes
313,1st February 2020,Anil Agarwal,"""the service was excellent""",✅ Trip Verified ,"  Guwahati to Mumbai, the service was excellent. I was traveling with my wife and son, fantastic experience, awesome food, excellent crew specially under Payal who mainly served us and great team work.",B737-80,Family Leisure,Economy Class,Guwahat to Mumbai,January 2020,5,5,4,NA,5,NA,5,yes
314,1st February 2020,Nisha Shrivastava,"""delayed again and again""",✅ Trip Verified ,"  Patna to Mumbai. Really worst experience twice. They delay at last moment and leave you with no option. Once they changed the flight timings and didn't even forward me the revised schedule. The second time I had to wait for the flight for 3 hours, being delayed again and again. I would now prefer not flying rather than booking a SpiceJet flight...",NA,Solo Leisure,Economy Class,Patna to Mumbai,December 2019,3,3,3,2,1,1,1,no
315,30th January 2020,Syamini Yarlagadda,"""Worst Experience""",✅ Trip Verified ," Vijayawada to Varanasi via Hyderabad. Worst Experience. They cancelled flight two days before trip. I found an alternative flight with another carrier (Air India or Indigo). They denied to book the flight for me. I asked them to refund money that I need to spend on booking the alternative flight myself (rs 3500), they cannot do that and can only refund 10% of my total fare (rs 700/- ) This is the kind of customer experience, the main reason for fall of airlines in India.",NA,Solo Leisure,Economy Class,Vijayawada to Varanasi via Hyderabad,January 2020,1,1,NA,NA,1,NA,1,no
316,29th January 2020,S K Sabesan,"""Choice of food is good""",Not Verified ," Delhi to Chennai. Nice hospitality, cabin crew well-groomed. Swift formalities at departure and arrival. Choice of food is good. May be served even more freshly packed.",NA,Business,Economy Class,Delhi to Chennai,January 2020,4,5,4,NA,4,NA,4,yes
317,29th January 2020,Ankit Agarwal,"""experience made me so happy""",✅ Trip Verified ,  Hyderabad to Pondicherry. This small experience made me so happy. Ritika and Kanchan the crew on Spicejet SG1004 gave such a excellent service.  They made arrangements for my nephew's birthday in not less than 10 minutes and made it really special for him. I'm sure he is not gonna forget this lifetime mid air birthday celebration experience Thank u SpiceJet for having such Amazing crew. Who make the guest feel at home.,NA,Family Leisure,Economy Class,Hyderabad to Pondicherry,January 2020,5,5,NA,NA,5,NA,5,yes
318,28th January 2020,P Halesh,"""Spicejet got me this time""",✅ Trip Verified ,"  Dubai to Mumbai. Spicejet has weight restrictions. They will get you at the gate If your hand luggage goes above the allocated amount They will pick you out especially if you have duty free bags and charge you for the extra weight. Why are you not told this at check in. All travelers be aware, make sure your carry on does not Exceed the amount allowed, Including your duty free purchase. They charge per kilogram. Spicejet got me this time, but I will not spend another dollar with them again.",NA,Couple Leisure,Economy Class,Dubai to Mumbai,January 2020,3,3,3,NA,1,NA,1,no
319,28th January 2020,Ashwani Sindhwani,"""Rough handling of baggage""",Not Verified ,"  Rajkot to Mumbai. Crew not able to serve food as ordered, either due to non availability of choices opted or shortage of time as flight was just little over an hour. Rough handling of Checked in baggage. One wheel of the trolley suitcase was broken during the loading/unloading.",A737,Family Leisure,Economy Class,Rajkot to Mumbai,January 2020,4,3,2,NA,2,NA,2,no
320,25th January 2020,M Hazalwa,"""staff are so careless""",✅ Trip Verified ,"  Patna to Hyderabad. I traveled 3 times in this same plane in just 2 months, and in last one week unfortunately I have to traveled 2 times and with same plane. Some staff are so careless. I asked for a glass of water before take-off and didn't get after take-off, and it takes 50 minutes when i asked again to a cabin crew. Spicejet is not comfortable, seats need to be repaired coz it's not good for travel, washroom was in not good condition.",NA,Business,Economy Class,Patna to Hyderabad,January 2020,1,1,2,NA,1,NA,2,no
321,23rd January 2020,R Deshpande,"""disgusting attitude towards customers""",Not Verified ,"  Worst experience at Kolkata airport. SpiceJet flight to Bagdogra delayed by 4 hours and the gate staff have the most disgusting attitude towards customers. No announcements, No courtesy, no politeness, their only response is the flight visibility is compromised as the weather is bad in Bagdogra. However flights from Delhi have landed in Bagdogra this morning. People are assumed to be stupid and not well informed.",NA,Family Leisure,Economy Class,Kolkata to Bagdogra,January 2020,1,1,NA,NA,1,NA,1,no
322,19th January 2020,Harjot Munday,"""Worst flight ever""",✅ Trip Verified , Delhi to Dubai with SpiceJet. Delays after delays. From original flight time of 7.45 am to a delay of 2 hours 15 minutes to a further delay of 1 hour 45 minutes to fly. Been waiting on the plane as I write this. Might as well have booked a cheaper afternoon flight. Worst flight ever!,NA,Solo Leisure,Economy Class,Delhi to Dubai,January 2020,1,1,1,1,1,1,1,no
323,17th January 2020,Shruti Sinha,"""staff are efficient""",Not Verified ," I always travel by SpiceJet and unlike other airlines, the staff are efficient and so praiseworthy. On my flight today as well, which was from Ahmedabad to Pune SG-523, I was taken care of by your loving staff. I had some trouble with my seat alignment and she was quick to get it resolved. Not every airline has staff like this. It's something they should learn from you.",NA,Solo Leisure,Economy Class,Ahmadabad to Pune,January 2020,5,5,5,5,5,5,5,yes
324,16th January 2020,S Lavikov,"""Bad airline, avoid""",✅ Trip Verified ,"  The airline demanded to provide the credit card used for ticket payment at the check in. I explained that it was lost and asked for another verification procedure. I was told I would not be able to fly but after 45 minutes of talking just 30 minutes before the departure the airline made me to write a statement saying that I paid for my ticket. My printout clearly showed the tickets were paid for and my passport number was also indicated thereon. Nevertheless the airline has chosen to give me hard time despite the fact that I already took 2 flights with it during the previous 2 weeks. Also although my ticket was Varanasi to Bangkok via Kolkata  the airline refused to check me all the way through and forced me to go through check in again for connecting flight in Kolkata which took more than an hour. Bad airline, avoid.",A320,Family Leisure,Economy Class,Varanasi to Bangkok via Kolkata,January 2020,2,2,1,1,1,NA,2,no
325,16th January 2020,H Marmish,"""they took care of me""",✅ Trip Verified ,"  
Mumbai to Kolkata. Spicejet has a perfect onboard crew, they took care of me with utmost care. I had a severe headache and was very uncomfortable, Ms Rafat helped me with medicines, which relived me a lot and I could catch some sleep afterwards.",NA,Business,Economy Class,Mumbai to Kolkata,January 2020,4,5,NA,NA,4,NA,5,yes
326,15th January 2020,Shipra Ojha,"""Awesome crew and great food""",Not Verified , Jaipur to Mumbai. Good airline. Awesome crew and great food - red hot spicy. Great connections within India to great destinations. Competitive fare prices and timing good for connections,NA,Solo Leisure,Economy Class,Jaipur to Mumbai,January 2020,4,5,3,1,4,1,4,yes
327,15th January 2020,Mahamudul Haque,"""don’t travel with SpiceJet""",✅ Trip Verified ,"  Mumbai to Dhaka, arrived nearly 6 hours late. Rubbish service. False commitment and not value for money. Please don’t travel with SpiceJet, get any other airline. They don’t follow the time.",Boeing 737-800,Solo Leisure,Economy Class,Mumbai to Dhaka,January 2020,2,1,1,NA,1,NA,1,no
328,13th January 2020,Jayanta Basu,"""No First Aid box available""",✅ Trip Verified ," 
SG517 from Bangalore to Kolkata on 11th Jan 2020 - No First Aid box available. The space being very low between seats, when I got the tea in a large cup and tried to place it beside the tray, it spilt and the boiling water went through the magazine rack onto my sports shoes and caused a large blister on my big toe. I could not get any first aid (cotton, bandage or tape) and the air hostesses informed that nothing was available. I finally got tissue and a band-aid to cover the blister and prevent the skin from tearing as I wore my socks and shoes before disembarking from the plane.",Boeing 737,Family Leisure,Premium Economy,Bengaluru to Kolkata,January 2020,1,3,3,NA,3,NA,2,no
329,11th January 2020,Jaijit Bhattacharya,"""Very stressful check-in""",✅ Trip Verified ," Vishakapatnam to Delhi. Very stressful check-in. Was not allowed to carry a single cabin bag and was forced to check-in despite having very fragile things. The duty manager was most unhelpful and made false promises that airline will be responsible for any breakage and then promptly made me sign a document saying the airline is not responsible for anything fragile. All reasoning fell on deaf ears. Most horrible experience as I am sure my things will break and the airline will shrug off their responsibility. Also, I have the right to carry cabin baggage within the weight limits. Surely this is much last flight on a Spicejet",NA,Business,Economy Class,Vishakapatnam to Delhi,January 2020,1,1,1,1,1,1,1,no
330,8th January 2020,Raghu Prasad Gopal,"""Never trust SpiceJet for crucial trips""",✅ Trip Verified ,"  Shirdi to Bangalore. Morning Flight from Bangalore to Pune: Have completed the long security check queue and reached the GATE 40 min before flight take off since we were three people travelling to Pune and we had further journey to made. In my case it was all three of us travelling on single PNR and they are just yards away from gate attendant told only i can get into flight and travel where the others request not obliged. When i asked she closed the GATE took us to security as we told no check-in bags signed and asked us to go and she left. If the people are late i agree and they were only yards short it was 3 ticket loss and entire plan for that day.  Flight from Pune to Bangalore Vice versa and Bangalore to Mumbai and Vice versa on Most of the time delayed and they dont even respond.  Flight from Shirdi to Bangalore on 5th Jan 2020 scheduled at 4 40 pm (16:40). The family trip to shirdi where my team booked Twenty four tickets including three infants. They only reason booked with SpiceJet was because of their Departure time was 4:40 PM which was suiting our plan of Aarti in Shirdi Sai Mandir and lunch. We recieved message and call on that day morning 10:30 as the Flight has cancelled and book for alternative. The team showered regrets for inconvenience and suggested to Travel via Chennai or Hyderabad the same day for few and other next day. There were lot of request made by us because we had infants and aged people agreed for next day travel. But when they started confirming they said only few can get direct Bangalore flight next day and others has to travel via other cities. With no other option left with us since we had our schedules were messed up we did not want to take any risk. Next day the Via city travel flight got delayed and all of us travelled to airport and for our surprise the scheduled one was also delayed and we have told only after 4:40 PM. We checked for Direct flight for others and surprise to see there were lot of seats vacant and they were not willing to confirm other day. Since, we had aged and infant people in group we requested them to allow in direct as there were lot of empty seats.  When we entered aircraft and took off saw there were still many empty rows I was like why the team did not allocate my other team for Direct flight earlier and pushed them with hands up for all our request earlier to confirm. Never trust SpiceJet for crucial trips.",NA,Business,Economy Class,Shirdi to Bangalore,January 2020,3,1,NA,NA,1,NA,1,no
331,8th January 2020,Angshuman Chatterjee,"""Fantastic experience""",Not Verified ,"  Kolkata to Dhaka. Fantastic experience, great hot food, excellent staff under Piyali and Felicita who mainly served me, but the priority luggage handling at the arrival airport left much to be desired.",NA,Business,Economy Class,Kolkata to Dhaka,January 2020,4,5,4,NA,4,NA,4,yes
332,4th January 2020,P Gahal,"""Check in was great""",✅ Trip Verified ,"  Delhi to Guwahati. Check in was great, cleanliness of aircraft, good Staff. Very helpful crew. Announcements were  Clear in both the languages.",NA,Business,Economy Class,Delhi to Guwahati,January 2020,4,NA,NA,NA,4,NA,5,yes
333,4th January 2020,V Lewis,"""deeply grateful to SpiceJet""",✅ Trip Verified ," On traveling from Jaipur to Udaipur my bag was flagged for screening at airport check in and in the process of inspection, my case containing some sentimental and personal jewelry was accidentally left behind. Not only Spicejet located it from the Lost & Found Office at Jaipur but flew it to Udaipur within twenty-four hours and had it carefully wrapped, handed back after checking my passport details and boarding pass. The process of retrieval was outstanding and I am deeply grateful to SpiceJet for their efficiency and professionalism.",NA,Family Leisure,Economy Class,Jaipur to Udaipur,January 2020,5,5,NA,NA,4,NA,5,yes
334,3rd January 2020,Zainab Karim,"""Very disappointed""",✅ Trip Verified ,  Hyderabad to Jaipur. The cabin crew was not at all helpful. This experience has made us realise not to choose Spicejet again for our trips. Very disappointed.,NA,Family Leisure,Economy Class,Hyderabad to Jaipur,January 2020,2,1,1,NA,1,NA,1,no
335,1st January 2020,Biswanath Pal,"""my last flight with SpiceJet""",✅ Trip Verified ,"  Delhi to Kolkata. This is probably going to be my last flight at Spice Jet, SG-272 had my worst experience ever, now the flight has been delayed but i have been on delayed flights before this but this takes it to new heights because my flight was to depart at 9:25 but I received notification that it was going to depart at 1:45 pm at 11:15 am which was already 2 hours after the original departure time. All other flights namely indigo were departing at their times normally only spice jet planes somehow didn't take off, thats just so problematic. Then again I received a message on my phone at 1 pm that it was going to take off at 2:30 then finally it took off at 3pm. When we landed the crew were least bothered to know the belt number the luggage is going to be available at, they said it was going to be at belt-8 but it was available at 9 which i found out on enquiring separately, after waiting almost 15-20 minutes at Belt-8 which stopped. It was a horrible spice jet experience, and thats why its probably going to be my last flight with SpiceJet.",NA,Family Leisure,Economy Class,Delhi to Kolkata,December 2019,4,2,NA,NA,1,NA,3,no
336,30th December 2019,Chetan Sadhu,"""Cancelled the trip""",Not Verified ,  Delhi to Shirdi. Worst airline. Cancelled the trip from Delhi to Shirdi few minutes before the boarding. No heads up and advanced notice. Spent 1000 Rs on uber not to mention the early morning inconvenience with my family. There is zero accountability and 100% incompetence top to bottom.,NA,Family Leisure,Economy Class,Delhi to Shirdi,December 2019,NA,NA,NA,NA,1,NA,1,no
337,24th December 2019,Daniel Boyd,"""Spicemax was worth it""",✅ Trip Verified ,"  Bangkok to Delhi. Added Spicemax to our ticket and it was worth it. Had a complimentary Glenfiddich with my free meal. Food was good, if a bit bland. Leg room was good in seat 7E. Staff were pleasant and on the ball. Tiniest toilet I've ever been in, but we don't spend much time there! Highly recommended.",Boeing 737-800,Couple Leisure,Economy Class,Bangkok to Delhi,December 2019,4,5,4,NA,5,NA,5,yes
338,23rd December 2019,Dilip Kumar,"""Unprofessional""",✅ Trip Verified ,"  Unprofessional, every two weeks once I travel to Tirupati from Hyderabad. My tickets were prebooked by company and seat allocated. Once we come to that desk they will change seat and will give their preference seat. Actually mine is 2B, have given 3D ,if we question it’s not confirmed they will say. Its not first time, always.",NA,Solo Leisure,Economy Class,Tirupati to Hyderabad,December 2019,2,5,2,1,4,1,1,no
339,23rd December 2019,Ajoy Chandnani,"""precise, respectful and behaved professionally""",✅ Trip Verified ," Hyderabad to Kishangarh with SpiceJet. Flight was comfortable. Toilet cleanliness and hygiene is thing to worry about. Inflight attendants were precise, respectful and behaved professionally. SpiceJet primarily struggles with timelines.",NA,Family Leisure,Economy Class,Hyderabad to Kishangarh,December 2019,3,4,3,NA,3,NA,5,yes
340,21st December 2019,P Shasawath,"""Delayed by 8 hours""",✅ Trip Verified ,  Delhi to Bengaluru. Flight Delayed by 8 hours and we were not even provided food or lounge access. First they told that our flight is delayed by an hour and at check in they informed that inter connecting flight will be hard to catch due to delay so we suggest you to take another flight after 8 hours! Despite having a senior citizen as a customer they did not provide lounge and food for the 8 hours delay.,NA,Family Leisure,Economy Class,Delhi to Bengaluru,December 2019,2,1,NA,NA,1,NA,1,no
341,20th December 2019,S Hadanty,"""unprofessional and unethical""",✅ Trip Verified ,"  We are a family of 4 traveling to Shirdi and at the gate, we were told the flight on 19 December has been cancelled due to inclement weather at Shirdi. I checked with the local guys and the weather was fine with 30 C high and clear sky. There were other flights which landed at Shirdi today. Clearly, Spicejet was hiding the real reasons. My travel plan was disrupted completely, and also my hotel and other bookings were lost as well. Very unprofessional and unethical.",NA,Family Leisure,Economy Class,Delhi to Shirdi,September 2019,NA,NA,NA,NA,1,NA,1,no
342,19th December 2019,S Markul,"""charged due to overweight bag""",✅ Trip Verified ,  Delhi to Bangalore. At the boarding pass counter. the counter staff charged me due to overweight bag due to snack items which I ate even before boarding. Flight was late for hours and in flight environment was very irritating. It may be a cheap flight but at cost of mental peace. Looks like the staff do not want customers to travel again with them.,NA,Solo Leisure,Economy Class,Delhi to Bangalore,December 2019,2,2,NA,NA,1,NA,1,no
343,19th December 2019,Kaifee Ahmad,"""food was very poor""",Not Verified , New Delhi to Aurangabad. Quality of food was very poor. Food was tasteless and not fresh. Though they have kept the food hot using an oven. Please request improve the quality and quantity of food to justify the price tag.,NA,Business,Economy Class,New Delhi to Aurangabad,December 2019,5,4,1,NA,4,NA,4,yes
344,15th December 2019,Amaram Madhuri,"""12 hours to board the flight""",✅ Trip Verified ,  Hyderabad to Tirupati. We waited for 12 hours to board the flight which was really annoying. Very disappointed with the service of Spicejet. This happened for continuous 2 days.,NA,Family Leisure,Economy Class,Hyderabad to Tirupati,November 2019,2,2,2,NA,1,NA,1,no
345,7th December 2019,C Garlen,"""Truly a horrendous experience""",✅ Trip Verified ,"  Mumbai to Kochi. Our problems started at the check-in desk, where the woman checking us in visibly rolled her eyes at us when we approached the counter. When we arrived in Kochi, I was informed that my bag had been kept in Mumbai because of a powerbank (which the check-in lady did not ask us about). Now, I understand why they have this policy, and that's not the problem I had with SpiceJet, as I realize that part is my fault. The problem was how SpiceJet customer service handled it. No information, hanging up on me every time I called to check the status of my bag, needing me to send the appropriate paperwork multiple times before removing the powerbank and sending me my bag (which took over 48 hours). I don't understand why it's so difficult to simply remove the powerbank (which I gave permission to do) and send the bag. Yet for some reason, the people who work for this airline are completely incompetent. Not only that, but I received a message on WhatsApp that my bag was arriving on a certain flight, so I drove 1.5 hours to pick it up. But when I arrived, the bag was not on the flight! Instead, it was on the next flight which landed 3 hours later. Since we were about to leave Kochi and go to Alleppey, I had to wait for it. I spoke with the people working at the SpiceJet counter in Kochi airport, who didn't seem to care at all and kept saying ""well maybe it will come tomorrow"". I made it clear I wasn't leaving without the bag, and told them I'd wait for the next flight. I left to get some food, and when I returned, no one was there -- the counter was closed. Fortunately I was able to get the terminal manager to help me get my bag, but if they weren't going to be there, why the hell didn't they just say so when I told them I'd be returning? Truly a horrendous experience with SpiceJet customer service, both in person and on the phone -- completely unhelpful in every way possible. The second time we flew SpiceJet was no better, as we were charged double the price of our ticket to change our flight by one day (even though online it says you only have to pay the difference of the fares, which is a lie). On top of that, there were over $100 of hidden fees added to the ticket price, which we were not informed about until it was time to pay. We were told we either had to pay it, or we'd lose our current flight AND the new reservation. Nothing about this airline makes sense, worst customer service I've ever experienced.",NA,Couple Leisure,Economy Class,Mumbai to Kochi via Prague,November 2019,1,4,NA,NA,1,NA,1,no
346,7th December 2019,A Bahjit,"""arrived 49 mins late""",✅ Trip Verified ,  Bangalore to Kolkata arrived 49 mins late. They don't care for customer its always late. I had miss my 2 connecting flight while travelling with this airline. Please don't travel with Spicejet If you want to save your time and energy.,NA,Solo Leisure,Economy Class,Bangalore to Kolkata,December 2019,1,2,1,1,1,1,1,no
347,5th December 2019,Sachin Benjamin,"""I am very disappointed""",✅ Trip Verified ,"  Cochin to Chennai, I am very disappointed on your service. We came to know that the flight is cancelled when we arrived at airport only. This was so disrespectful from your side.It was your duty to inform us at-least 3 hour before. T You also changed your flight number on November 21st, we booked ticket for another flight and you changed the flight that is not an issue still, you are not sticking to anything. Customer service is so poor.",NA,Family Leisure,Economy Class,Cochin to Chennai,December 2019,1,1,NA,NA,1,NA,1,no
348,4th December 2019,Hossam Ziada,"""15 kg only is too little""",Not Verified ,"  Kolkata to Mumbai. I have a good experience with cabin service . Other thing bad was the money I have paid for my bag it weighed 22kg, I paid 2800 IR because allowed weight of 15 kg only is too little. It will be better to raise allowed weight to 20 as in Air India, I travelled by Air India during internal flight allowed weight was 2 bags, 20 kg each. So I am so annoyed from this issue.",NA,Solo Leisure,Economy Class,Kolkata to Mumbai,December 2019,3,5,4,NA,1,NA,2,no
349,3rd December 2019,D Gedeep,"""Seats are also comfortable""",✅ Trip Verified ,  Mumbai to Kolkata. Wonderful experience on a budget airline. Found the cabin and washroom clean. Seats are also comfortable. The only thing is that they should explore many more routes.,NA,Solo Leisure,Economy Class,Mumbai to Kolkata,December 2019,5,4,4,NA,5,NA,5,yes
350,1st December 2019,Samina Khan,"""Worst flying experience""",✅ Trip Verified ," Goa to Mumbai. Worst flying experience ever. The flight was delayed by 2 hours, due to some operational problems. The staff was extremely unprofessional and rude. I paid for the meal beforehand but the flight host was not ready to give me my meal for no reason. Finally, he gave me a tasteless sandwich after asking multiple times. Even on my Mumbai to Goa flight, the staff was super rude. Either they are not trained at all or they are being underpaid, and hence they take out all the frustration on their passengers. Never flying again on Spicejet for sure.",NA,Business,Economy Class,Goa to Mumbai,November 2019,1,1,1,1,2,NA,1,no
351,30th November 2019,C Murton,"""Avoid this airline at all costs""",✅ Trip Verified ,  Mumbai to Varanasi. I tried to buy baggage online leading up to the flight but it would not let me. I then told them at the airport along with screenshots showing my request on Twitter. She was not bothered at all. Charged me full price. Avoid this airline at all costs. There is a reason they're ratings are so low.,NA,Couple Leisure,Economy Class,Mumbai to Varanasi,November 2019,3,3,NA,NA,3,NA,1,no
352,25th November 2019,Ravindra Taparia,"""was a lovely flight""",Not Verified ," Kolkata to Delhi. It was a lovely flight, the cabin crew was wonderful and the hospitality was awesome. The food was lovely too. One of the cabin crew was not well but the other members of the crew took over her job and it was great teamwork. Hats off to these lovely staff.",A340,Business,Economy Class,Kolkata to Delhi,November 2019,5,5,5,NA,5,NA,5,yes
353,24th November 2019,C Rakoorna,"""I am highly disappointed""",✅ Trip Verified ,  Bangalore to Hyderabad. It is just so sad that I had to pay extra for discomfort. My flight kept delaying. Technical issue or not will the company take any responsibility for safety at night. Is it even ethical to keep delaying. Issues keep coming but how can you ignore the discomfort it has caused people due to it. Sorry will not help. Do your job the right way. I am highly disappointed.,NA,Solo Leisure,Economy Class,Bangalore to Hyderabad,November 2019,1,1,NA,NA,1,NA,1,no
354,23rd November 2019,Mary Halder,"""charging for hand luggage""",Not Verified ,"  Dharamshala to Delhi. Spicejet's staff in Dharamshala airport is trying to make some extra money here, charging for hand luggage, when I have brought the same hand luggage on my way from Kolkata via Delhi to Dharamshala without any extra fee.",NA,Couple Leisure,Economy Class,Dharamshala to Delhi,November 2019,1,1,1,1,1,1,1,no
355,21st November 2019,Tauqeer Alam,"""it was my worst journey ever""",Not Verified ,"  Mumbai to Kanpur. I must say it was my worst journey ever. When I booked my flight the time was 10.45 am and after a week they messages saying that it will be taking off at 1.45 pm. The flight took off after 2.30pm, I dont understand why they don't value time. I must suggest please don't book with SpiceJet. Also for luggage, at the time of booking they dont indicate that you can't take cabin luggage and the day before the flight they circulated a message that no cabin luggage was allowable. If there was an option to give a minus star I would.",NA,Solo Leisure,Economy Class,Mumbai to Kanpur,November 2019,1,1,1,1,1,1,1,no
356,18th November 2019,J Harese,"""cannot expect any better""",✅ Trip Verified ,"  Kolkata to Kochi via Chennai. From ticketing to delivery of Luggage including transfer and  very tasty food provided with excellent cabin crew service was excellent. Only issue being maintainability of strict timing which will help if passengers are on a schedule or transfer time to connecting flight is less/short. Rest is top-notch, cannot expect any better.",NA,Couple Leisure,Economy Class,Kolkata to Kochi via Chennai,November 2019,5,5,5,NA,4,NA,5,yes
357,18th November 2019,Manish Agrawal,"""courteous crew cabin""",✅ Trip Verified ,"  Delhi to Mumbai. Perfect service, courteous crew cabin as well as ground. There was a 15 mins delay in flight which was very well informed to the passengers with a message of sorry. The Captain again apologized for the delay. The cabin crew is perfect behaved respects all passengers.",NA,Business,Economy Class,Delhi to Mumbai,November 2019,4,5,NA,NA,5,NA,5,yes
358,14th November 2019,N Maya,"""the airline staff mislead""",Not Verified ," Delhi to Chennai. Had paid for an exit seat at the time of purchase of the flight. However, at the check-in counter I was made to believe that the seat selected was not an exit but a regular middle seat. The employee at the counter very generously agreed to change it and assign me an aisle seat. Well, it was a rude shock upon boarding to see that my original seat was indeed an exit seat. Why would the airline staff mislead a fare-paying passenger? More surprises. After a 2 hour delay, the flight crew was busy providing sample drinks and indulging in small talk with a group of passengers without any consideration that the rest of the passengers were trying to get some sleep. After all, it was past midnight. I don't think it was too much to ask of the flight crew to service the needy passengers without boring or bothering the rest about their drink choices.",NA,Solo Leisure,Economy Class,Delhi to Chennai,November 2019,2,1,NA,NA,1,NA,2,no
359,11th November 2019,R Hajira,"""denied the entitled meals""",✅ Trip Verified ,"  Patna to Chennai. I had upgraded to Spicemax considering facility of extra leg space and on-board meals. But to my surprise, so call leg-space is a big disappointment as the space is very little and uncomfortable. I was very rudely denied the entitled meals onboard by cabin crew member. His behaviour made us feel humiliated onboard. Raised a complaint to the customer relations, but it is useless as they have not yet investigated the issue.",NA,Family Leisure,Premium Economy,Patna to Chennai,November 2019,1,1,1,NA,1,NA,1,no
360,9th November 2019,Sadaf Khan,"""faced a lot of inconvenience""",✅ Trip Verified ,"  On my recent journey from Hyderabad to Surat we I had an excess baggage of 5kg (check-in) luggage for which I was requested to pay, and I agreed to instantly. While the process was being done peacefully, on duty manager argued that my hand bag should also be weighed along with my cabin bag and the total weight should be 7kgs only. The airline policy clearly states that each passenger is allowed cabin bag of maximum 7kgs and hand bag free of cost. We were a group of 13 people, and accordingly every passenger is allowed a cabin bag and a hand bag free of cost, but staff was hell bent on making us pay extra for the hand bag (which is essentially my purse). He was rude, and has no idea what he was talking. We have been frequent flyers with Spicejet and usually the staff is very polite and considerate. We choose Spicejet for their hospitality and are loyal customers since years.  We wasted our time and energy and faced a lot of inconvenience. This behavior is unaccepted and intolerable.",NA,Family Leisure,Economy Class,Surat to Hyderabad,November 2019,3,3,NA,NA,1,NA,2,no
361,9th November 2019,Sunil Kumar Rajanna,"""Flight condition is also awful""",✅ Trip Verified ,"  Bengaluru to Shirdi. Got message of early flight, after reaching airport flight was delayed by 30min. I had previous 4 hrs delay with Spicejet, due to which I lost my other connecting flight. Worst services no respect for the customer time. Flight condition is also awful.",NA,Family Leisure,Economy Class,Bengaluru to Shirdi,November 2019,1,1,1,1,1,1,1,no
362,6th November 2019,Debashis Roy,"""efficient and warm onboard service""",✅ Trip Verified ,"  New Delhi to Kolkata. Delighted with the prompt, efficient and warm onboard service provided by the crew. Appreciate their efforts towards customer centricity.",Boeing 737-800,Solo Leisure,Economy Class,New Delhi to Kolkata,November 2019,5,5,5,NA,5,NA,5,yes
363,5th November 2019,L Nawin,"""worst experience ever""",✅ Trip Verified ,"  Bangalore to Delhi. The worst experience I had, flight landed at 1AM, waited till 3.30AM to collect my bag but not received. I visited airport on next day at 8 PM, it’s already 11.05 PM till now not received my bag and simply asking me to wait for 10mins from long time. Worst experience, even I have seen 4-5 members with same issues. The worst experience ever.",NA,Business,Economy Class,Bangalore to Delhi,November 2019,4,1,1,NA,2,NA,1,no
364,4th November 2019,Jyoti Kumar Pathak,"""crew members really good""",✅ Trip Verified ," Delhi to Banglore. The crew members were really very good. It's not the airline, its the members and employees give you a good experience, and in this matter, I can rate Spicejet crew members much better than my previous flying experience with Air India and Indigo.",NA,Business,Economy Class,Delhi to Banglore,November 2019,4,5,5,1,4,1,4,yes
365,4th November 2019,Bhavishya Gupta,"""late for more than 4 hrs""",✅ Trip Verified ,"  Hyderabad to Delhi. One of the worst flight I have ever travelled on.  On my journey to Hyderabad and back to Delhi, the flight was late for more than 4 hrs. Wasn't the case with other flights going on the same route. Think before You travel through this airline.",NA,Solo Leisure,Economy Class,Hyderabad to Delhi,November 2019,3,2,1,1,1,2,2,no
366,3rd November 2019,Prateek Gupta,"""not received any communication""",Not Verified ,"  I flew Spicejet from Bangkok to Delhi on October 23 and booked my return for November 3, 2019. In my first attempt at the transaction, the booking failed but the amount of 9,506 Thai Baht was debited from my account, which is yet to be refunded. I have since written to them on 5 different occasions starting October 10 on the following dates: October 15, 18, 21, 23 and 26. In the last two emails the nodal officer was additionally looped in. I am taking to this platform because I have not received any communication from SpiceJet since October 15 and it's been well over three weeks since the transaction failed. I hope the message is loud and clear and worthy of attention from your end.",NA,Solo Leisure,Economy Class,Bangkok to New Delhi,October 2019,1,1,1,1,1,1,1,no
367,25th October 2019,Anima Dey,"""the flight is cancelled""",Not Verified ,  Goa to Mumbai. The check in counter staff kept on saying that the flight is delayed and at 4.30 hrs she was said that the flight is cancelled and was informed that she can arrange for alternative flights. The spicejet staffs were so unprofessional that they did not even try to accommodate them to any other flight!,NA,Solo Leisure,Economy Class,Goa to Mumbai,October 2019,NA,NA,NA,NA,1,NA,1,no
